date, pm25
2022/5/14, 104
2022/5/15, 88
2022/5/16, 100
2022/5/17, 93
2022/5/18, 86
2022/5/19, 111
2022/5/20, 117
2022/5/21, 120
2022/5/22, 119
2022/5/23, 111
2022/5/24, 98
2022/5/25, 124
2022/5/26, 118
2022/5/27, 85
2022/5/28, 109
2022/5/29, 73
2022/5/30, 86
2022/5/31, 118
2022/6/1, 123
2022/6/2, 111
2022/6/3, 100
2022/6/4, 114
2022/6/5, 122
2022/6/6, 125
2022/6/7, 120
2022/6/8, 106
2022/6/9, 125
2022/6/10, 135
2022/6/11, 127
2022/6/12, 113
2022/6/13, 119
2022/6/14, 129
2022/6/15, 141
2022/6/16, 136
2022/6/17, 152
2022/6/21, 125
2022/6/22, 151
2022/6/23, 156
2022/6/24, 158
2022/6/25, 152
2022/6/26, 144
2022/6/27, 131
2022/6/28, 137
2022/6/29, 142
2022/6/30, 148
2022/2/28, 87
2022/3/1, 97
2022/3/2, 81
2022/3/3, 105
2022/3/4, 112
2022/3/5, 107
2022/3/6, 110
2022/3/7, 110
2022/3/8, 102
2022/3/9, 113
2022/3/10, 121
2022/3/11, 117
2022/3/12, 100
2022/3/13, 117
2022/3/14, 113
2022/3/15, 145
2022/3/16, 141
2022/3/17, 155
2022/3/18, 142
2022/3/19, 155
2022/3/20, 154
2022/3/25, 75
2022/3/26, 91
2022/3/27, 90
2022/3/28, 84
2022/3/29, 92
2022/3/30, 64
2022/3/31, 85
